"LS","10:42   1 Aug 2017"
"File name:","LabBurnTop2_LabBur_05.$ls"
"Channel Number","Channel Diameter (Lower)","Diff."
"","um","Volume"
"","","%"
1,0.040,0
2,0.044,0
3,0.048,0
4,0.053,0
5,0.058,0
6,0.064,0
7,0.070,0
8,0.077,0
9,0.084,0
10,0.093,0
11,0.102,0.000007
12,0.112,0.00012
13,0.122,0.00055
14,0.134,0.0014
15,0.148,0.0029
16,0.162,0.0050
17,0.178,0.0079
18,0.195,0.012
19,0.214,0.017
20,0.235,0.023
21,0.258,0.030
22,0.284,0.036
23,0.311,0.042
24,0.342,0.048
25,0.375,0.052
26,0.412,0.056
27,0.452,0.058
28,0.496,0.059
29,0.545,0.060
30,0.598,0.059
31,0.656,0.058
32,0.721,0.056
33,0.791,0.055
34,0.868,0.053
35,0.953,0.050
36,1.047,0.048
37,1.149,0.046
38,1.261,0.043
39,1.385,0.041
40,1.520,0.038
41,1.668,0.036
42,1.832,0.035
43,2.011,0.036
44,2.207,0.039
45,2.423,0.047
46,2.660,0.059
47,2.920,0.077
48,3.205,0.10
49,3.519,0.13
50,3.863,0.15
51,4.240,0.17
52,4.655,0.18
53,5.110,0.18
54,5.610,0.17
55,6.158,0.15
56,6.760,0.14
57,7.421,0.14
58,8.147,0.15
59,8.943,0.18
60,9.817,0.22
61,10.78,0.26
62,11.83,0.30
63,12.99,0.33
64,14.26,0.34
65,15.65,0.35
66,17.18,0.36
67,18.86,0.37
68,20.70,0.40
69,22.73,0.46
70,24.95,0.52
71,27.39,0.53
72,30.07,0.52
73,33.01,0.51
74,36.24,0.52
75,39.78,0.55
76,43.67,0.63
77,47.94,0.70
78,52.62,0.69
79,57.77,0.57
80,63.41,0.42
81,69.61,0.38
82,76.42,0.47
83,83.89,0.57
84,92.09,0.51
85,101.1,0.39
86,111.0,0.38
87,121.8,0.46
88,133.7,0.53
89,146.8,0.59
90,161.2,0.63
91,176.9,0.66
92,194.2,0.74
93,213.2,0.91
94,234.1,1.15
95,256.9,1.41
96,282.1,1.70
97,309.6,2.04
98,339.9,2.50
99,373.1,3.24
100,409.6,4.01
101,449.7,4.47
102,493.6,5.09
103,541.9,6.35
104,594.9,7.15
105,653.0,6.72
106,716.8,6.64
107,786.9,7.18
108,863.9,5.91
109,948.3,3.53
110,1041,2.49
111,1143,1.36
112,1255,0.15
113,1377,0.12
114,1512,1.22
115,1660,2.57
116,1822,3.00
,2000,

