"LS"," 9:23   1 Aug 2017"
"File name:","PostBurnMin_PostBu_01.$ls"
"Channel Number","Channel Diameter (Lower)","Diff."
"","um","Volume"
"","","%"
1,0.040,0.0013
2,0.044,0.0015
3,0.048,0.0021
4,0.053,0.0037
5,0.058,0.0078
6,0.064,0.016
7,0.070,0.027
8,0.077,0.037
9,0.084,0.046
10,0.093,0.055
11,0.102,0.065
12,0.112,0.074
13,0.122,0.082
14,0.134,0.091
15,0.148,0.098
16,0.162,0.10
17,0.178,0.11
18,0.195,0.12
19,0.214,0.12
20,0.235,0.13
21,0.258,0.13
22,0.284,0.14
23,0.311,0.14
24,0.342,0.14
25,0.375,0.14
26,0.412,0.14
27,0.452,0.14
28,0.496,0.13
29,0.545,0.13
30,0.598,0.12
31,0.656,0.12
32,0.721,0.11
33,0.791,0.099
34,0.868,0.090
35,0.953,0.081
36,1.047,0.073
37,1.149,0.067
38,1.261,0.063
39,1.385,0.062
40,1.520,0.065
41,1.668,0.073
42,1.832,0.086
43,2.011,0.11
44,2.207,0.13
45,2.423,0.16
46,2.660,0.20
47,2.920,0.23
48,3.205,0.27
49,3.519,0.30
50,3.863,0.33
51,4.240,0.35
52,4.655,0.36
53,5.110,0.37
54,5.610,0.37
55,6.158,0.37
56,6.760,0.37
57,7.421,0.37
58,8.147,0.38
59,8.943,0.40
60,9.817,0.42
61,10.78,0.46
62,11.83,0.50
63,12.99,0.55
64,14.26,0.59
65,15.65,0.62
66,17.18,0.64
67,18.86,0.66
68,20.70,0.66
69,22.73,0.66
70,24.95,0.64
71,27.39,0.62
72,30.07,0.61
73,33.01,0.61
74,36.24,0.63
75,39.78,0.66
76,43.67,0.67
77,47.94,0.66
78,52.62,0.62
79,57.77,0.56
80,63.41,0.50
81,69.61,0.46
82,76.42,0.44
83,83.89,0.46
84,92.09,0.49
85,101.1,0.53
86,111.0,0.58
87,121.8,0.63
88,133.7,0.70
89,146.8,0.79
90,161.2,0.94
91,176.9,1.13
92,194.2,1.36
93,213.2,1.62
94,234.1,1.89
95,256.9,2.15
96,282.1,2.40
97,309.6,2.65
98,339.9,2.91
99,373.1,3.19
100,409.6,3.49
101,449.7,3.79
102,493.6,4.08
103,541.9,4.35
104,594.9,4.57
105,653.0,4.74
106,716.8,4.86
107,786.9,4.86
108,863.9,4.69
109,948.3,4.29
110,1041,3.63
111,1143,2.77
112,1255,1.83
113,1377,0.95
114,1512,0.40
115,1660,0.13
116,1822,0.13
,2000,

