"LS","10:10   1 Aug 2017"
"File name:","PostBurnMin_PostBu_03.$ls"
"Channel Number","Channel Diameter (Lower)","Diff."
"","um","Volume"
"","","%"
1,0.040,0.0011
2,0.044,0.0013
3,0.048,0.0020
4,0.053,0.0037
5,0.058,0.0079
6,0.064,0.015
7,0.070,0.025
8,0.077,0.034
9,0.084,0.042
10,0.093,0.050
11,0.102,0.059
12,0.112,0.067
13,0.122,0.075
14,0.134,0.083
15,0.148,0.090
16,0.162,0.097
17,0.178,0.10
18,0.195,0.11
19,0.214,0.12
20,0.235,0.12
21,0.258,0.13
22,0.284,0.14
23,0.311,0.14
24,0.342,0.14
25,0.375,0.15
26,0.412,0.15
27,0.452,0.15
28,0.496,0.15
29,0.545,0.15
30,0.598,0.14
31,0.656,0.14
32,0.721,0.13
33,0.791,0.12
34,0.868,0.11
35,0.953,0.098
36,1.047,0.086
37,1.149,0.074
38,1.261,0.064
39,1.385,0.057
40,1.520,0.053
41,1.668,0.054
42,1.832,0.062
43,2.011,0.078
44,2.207,0.10
45,2.423,0.14
46,2.660,0.18
47,2.920,0.23
48,3.205,0.28
49,3.519,0.33
50,3.863,0.38
51,4.240,0.40
52,4.655,0.42
53,5.110,0.42
54,5.610,0.41
55,6.158,0.39
56,6.760,0.38
57,7.421,0.37
58,8.147,0.38
59,8.943,0.41
60,9.817,0.46
61,10.78,0.51
62,11.83,0.56
63,12.99,0.61
64,14.26,0.65
65,15.65,0.69
66,17.18,0.72
67,18.86,0.74
68,20.70,0.76
69,22.73,0.76
70,24.95,0.74
71,27.39,0.72
72,30.07,0.71
73,33.01,0.71
74,36.24,0.74
75,39.78,0.77
76,43.67,0.79
77,47.94,0.78
78,52.62,0.73
79,57.77,0.66
80,63.41,0.59
81,69.61,0.54
82,76.42,0.52
83,83.89,0.53
84,92.09,0.57
85,101.1,0.61
86,111.0,0.66
87,121.8,0.70
88,133.7,0.76
89,146.8,0.84
90,161.2,0.95
91,176.9,1.09
92,194.2,1.26
93,213.2,1.46
94,234.1,1.69
95,256.9,1.94
96,282.1,2.22
97,309.6,2.55
98,339.9,2.93
99,373.1,3.36
100,409.6,3.84
101,449.7,4.34
102,493.6,4.83
103,541.9,5.28
104,594.9,5.62
105,653.0,5.79
106,716.8,5.70
107,786.9,5.28
108,863.9,4.49
109,948.3,3.40
110,1041,2.00
111,1143,0.82
112,1255,0.17
113,1377,0.014
114,1512,0
115,1660,0
116,1822,0
,2000,

