"LS","13:41  25 Jul 2017"
"File name:","PostBurnTop_PostBu_06.$ls"
"File ID:","PostBurnTop1"
"Sample ID:","PostBurnTop1"
"Operator:","CK"
"Bar code:",""
"Comment 1:",""
"Comment 2:",""
"Instrument:","LS 230, Fluid Module"
"Run number:","6"
"Start time:","13:39  25 Jul 2017"
"Run length:","92"
"Optical model:","FJA20.RFD   PIDS included"
"Obscuration:","26"
"PIDS Obscur:","92"
"Obscuration:","HIGH"
"Serial Number:","5853"

"From","0.0400"
"To","2000"
"Volume ",100
"Mean:","510.0"
"Median:","456.7"
"D(3,2):",11.78
"Mode:","824.5"
"S.D.:","404.1"
"Variance:","163.3e3"
"Skewness:","0.638"
"Kurtosis:","-0.263"
"d10:","26.18"
"d50:","456.7"
"d90:","1079"

"Size ","% <"
1,1.67
10,5.55
100,20.6
1000,86.7

"Particle Diameter","PostBurnTop_PostBu_06.$ls"
"um","Volume"
"","% <"
0.782,1.52
1,1.67
2,2.06
3,2.52
4,3.07
5,3.61
7,4.51
10,5.55
20,8.50
40,12.5
80,18.4
82.72,18.7

"Channel Number","Channel Diameter (Lower)","Diff."
"","um","Volume"
"","","%"
1,0.040,0.00067
2,0.044,0.00079
3,0.048,0.0011
4,0.053,0.0019
5,0.058,0.0041
6,0.064,0.0083
7,0.070,0.014
8,0.077,0.020
9,0.084,0.025
10,0.093,0.030
11,0.102,0.035
12,0.112,0.040
13,0.122,0.044
14,0.134,0.049
15,0.148,0.053
16,0.162,0.057
17,0.178,0.060
18,0.195,0.064
19,0.214,0.067
20,0.235,0.070
21,0.258,0.073
22,0.284,0.075
23,0.311,0.076
24,0.342,0.077
25,0.375,0.077
26,0.412,0.077
27,0.452,0.076
28,0.496,0.075
29,0.545,0.073
30,0.598,0.070
31,0.656,0.067
32,0.721,0.064
33,0.791,0.060
34,0.868,0.056
35,0.953,0.053
36,1.047,0.050
37,1.149,0.047
38,1.261,0.047
39,1.385,0.048
40,1.520,0.051
41,1.668,0.057
42,1.832,0.066
43,2.011,0.078
44,2.207,0.094
45,2.423,0.11
46,2.660,0.13
47,2.920,0.15
48,3.205,0.17
49,3.519,0.19
50,3.863,0.21
51,4.240,0.23
52,4.655,0.24
53,5.110,0.24
54,5.610,0.25
55,6.158,0.25
56,6.760,0.26
57,7.421,0.26
58,8.147,0.27
59,8.943,0.28
60,9.817,0.30
61,10.78,0.32
62,11.83,0.35
63,12.99,0.38
64,14.26,0.41
65,15.65,0.45
66,17.18,0.48
67,18.86,0.50
68,20.70,0.52
69,22.73,0.53
70,24.95,0.53
71,27.39,0.53
72,30.07,0.54
73,33.01,0.57
74,36.24,0.61
75,39.78,0.67
76,43.67,0.73
77,47.94,0.77
78,52.62,0.80
79,57.77,0.81
80,63.41,0.82
81,69.61,0.84
82,76.42,0.87
83,83.89,0.93
84,92.09,0.98
85,101.1,1.04
86,111.0,1.09
87,121.8,1.13
88,133.7,1.18
89,146.8,1.23
90,161.2,1.30
91,176.9,1.39
92,194.2,1.50
93,213.2,1.64
94,234.1,1.80
95,256.9,1.98
96,282.1,2.18
97,309.6,2.40
98,339.9,2.66
99,373.1,2.94
100,409.6,3.24
101,449.7,3.54
102,493.6,3.84
103,541.9,4.12
104,594.9,4.38
105,653.0,4.61
106,716.8,4.78
107,786.9,4.85
108,863.9,4.72
109,948.3,4.34
110,1041,3.72
111,1143,2.93
112,1255,2.09
113,1377,1.32
114,1512,0.73
115,1660,0.40
116,1822,0.20
,2000,

