"LS","14:06  25 Jul 2017"
"File name:","PostBurnTop_PostBu_07.$ls"
"File ID:","PostBurnTop2"
"Sample ID:","PostBurnTop2"
"Operator:","CK"
"Bar code:",""
"Comment 1:",""
"Comment 2:",""
"Instrument:","LS 230, Fluid Module"
"Run number:","7"
"Start time:","14:04  25 Jul 2017"
"Run length:","92"
"Optical model:","FJA20.RFD   PIDS included"
"Obscuration:","29"
"PIDS Obscur:","90"
"Obscuration:","HIGH"
"Serial Number:","5853"

"From","0.0400"
"To","2000"
"Volume ",100
"Mean:","499.9"
"Median:","442.7"
"D(3,2):",14.45
"Mode:","751.1"
"S.D.:","389.6"
"Variance:","151.8e3"
"Skewness:","0.732"
"Kurtosis:","0.0316"
"d10:","37.19"
"d50:","442.7"
"d90:","1044"

"Size ","% <"
1,1.39
10,4.46
100,18.4
1000,88.2

"Particle Diameter","PostBurnTop_PostBu_07.$ls"
"um","Volume"
"","% <"
0.782,1.24
1,1.39
2,1.80
3,2.19
4,2.60
5,3.00
7,3.66
10,4.46
20,6.87
40,10.4
80,16.0
82.72,16.3

"Channel Number","Channel Diameter (Lower)","Diff."
"","um","Volume"
"","","%"
1,0.040,0.00052
2,0.044,0.00061
3,0.048,0.00084
4,0.053,0.0015
5,0.058,0.0032
6,0.064,0.0065
7,0.070,0.011
8,0.077,0.015
9,0.084,0.019
10,0.093,0.023
11,0.102,0.027
12,0.112,0.031
13,0.122,0.034
14,0.134,0.038
15,0.148,0.041
16,0.162,0.044
17,0.178,0.047
18,0.195,0.050
19,0.214,0.053
20,0.235,0.055
21,0.258,0.058
22,0.284,0.060
23,0.311,0.061
24,0.342,0.062
25,0.375,0.063
26,0.412,0.064
27,0.452,0.064
28,0.496,0.064
29,0.545,0.063
30,0.598,0.062
31,0.656,0.061
32,0.721,0.060
33,0.791,0.058
34,0.868,0.056
35,0.953,0.054
36,1.047,0.053
37,1.149,0.052
38,1.261,0.052
39,1.385,0.053
40,1.520,0.055
41,1.668,0.059
42,1.832,0.065
43,2.011,0.072
44,2.207,0.082
45,2.423,0.093
46,2.660,0.11
47,2.920,0.12
48,3.205,0.13
49,3.519,0.14
50,3.863,0.16
51,4.240,0.17
52,4.655,0.17
53,5.110,0.18
54,5.610,0.18
55,6.158,0.19
56,6.760,0.19
57,7.421,0.20
58,8.147,0.21
59,8.943,0.22
60,9.817,0.24
61,10.78,0.26
62,11.83,0.28
63,12.99,0.31
64,14.26,0.34
65,15.65,0.37
66,17.18,0.40
67,18.86,0.42
68,20.70,0.44
69,22.73,0.46
70,24.95,0.46
71,27.39,0.47
72,30.07,0.48
73,33.01,0.51
74,36.24,0.55
75,39.78,0.60
76,43.67,0.66
77,47.94,0.70
78,52.62,0.74
79,57.77,0.77
80,63.41,0.81
81,69.61,0.86
82,76.42,0.92
83,83.89,1.00
84,92.09,1.08
85,101.1,1.16
86,111.0,1.22
87,121.8,1.27
88,133.7,1.32
89,146.8,1.37
90,161.2,1.44
91,176.9,1.53
92,194.2,1.66
93,213.2,1.83
94,234.1,2.02
95,256.9,2.23
96,282.1,2.47
97,309.6,2.72
98,339.9,2.99
99,373.1,3.27
100,409.6,3.57
101,449.7,3.86
102,493.6,4.13
103,541.9,4.37
104,594.9,4.56
105,653.0,4.69
106,716.8,4.74
107,786.9,4.65
108,863.9,4.38
109,948.3,3.91
110,1041,3.26
111,1143,2.53
112,1255,1.80
113,1377,1.17
114,1512,0.69
115,1660,0.41
116,1822,0.22
,2000,

