"LS","14:25  25 Jul 2017"
"File name:","PostBurnTop_PostBu_08.$ls"
"File ID:","PostBurnTop3"
"Sample ID:","PostBurnTop3"
"Operator:","CK"
"Bar code:",""
"Comment 1:",""
"Comment 2:",""
"Instrument:","LS 230, Fluid Module"
"Run number:","8"
"Start time:","14:23  25 Jul 2017"
"Run length:","92"
"Optical model:","FJA20.RFD   PIDS included"
"Obscuration:","19"
"PIDS Obscur:","85"
"Obscuration:","HIGH"
"Serial Number:","5853"

"From","0.0400"
"To","2000"
"Volume ",100
"Mean:","467.9"
"Median:","431.3"
"D(3,2):",11.31
"Mode:","684.2"
"S.D.:","363.4"
"Variance:","132.1e3"
"Skewness:","0.580"
"Kurtosis:","-0.367"
"d10:","23.67"
"d50:","431.3"
"d90:","981.9"

"Size ","% <"
1,1.71
10,5.82
100,21.6
1000,90.7

"Particle Diameter","PostBurnTop_PostBu_08.$ls"
"um","Volume"
"","% <"
0.782,1.56
1,1.71
2,2.09
3,2.57
4,3.17
5,3.75
7,4.71
10,5.82
20,8.99
40,13.4
80,19.4
82.72,19.8

"Channel Number","Channel Diameter (Lower)","Diff."
"","um","Volume"
"","","%"
1,0.040,0.00071
2,0.044,0.00084
3,0.048,0.0012
4,0.053,0.0021
5,0.058,0.0046
6,0.064,0.0091
7,0.070,0.015
8,0.077,0.021
9,0.084,0.026
10,0.093,0.031
11,0.102,0.037
12,0.112,0.042
13,0.122,0.047
14,0.134,0.052
15,0.148,0.056
16,0.162,0.059
17,0.178,0.062
18,0.195,0.066
19,0.214,0.070
20,0.235,0.073
21,0.258,0.075
22,0.284,0.077
23,0.311,0.078
24,0.342,0.079
25,0.375,0.079
26,0.412,0.079
27,0.452,0.077
28,0.496,0.076
29,0.545,0.073
30,0.598,0.071
31,0.656,0.067
32,0.721,0.063
33,0.791,0.059
34,0.868,0.055
35,0.953,0.051
36,1.047,0.048
37,1.149,0.046
38,1.261,0.045
39,1.385,0.046
40,1.520,0.050
41,1.668,0.057
42,1.832,0.067
43,2.011,0.080
44,2.207,0.097
45,2.423,0.12
46,2.660,0.14
47,2.920,0.16
48,3.205,0.19
49,3.519,0.21
50,3.863,0.23
51,4.240,0.24
52,4.655,0.25
53,5.110,0.26
54,5.610,0.27
55,6.158,0.27
56,6.760,0.27
57,7.421,0.28
58,8.147,0.29
59,8.943,0.30
60,9.817,0.32
61,10.78,0.35
62,11.83,0.38
63,12.99,0.41
64,14.26,0.45
65,15.65,0.48
66,17.18,0.51
67,18.86,0.54
68,20.70,0.56
69,22.73,0.57
70,24.95,0.57
71,27.39,0.57
72,30.07,0.58
73,33.01,0.61
74,36.24,0.66
75,39.78,0.73
76,43.67,0.78
77,47.94,0.83
78,52.62,0.84
79,57.77,0.84
80,63.41,0.84
81,69.61,0.85
82,76.42,0.87
83,83.89,0.91
84,92.09,0.96
85,101.1,1.01
86,111.0,1.04
87,121.8,1.08
88,133.7,1.11
89,146.8,1.15
90,161.2,1.22
91,176.9,1.33
92,194.2,1.46
93,213.2,1.63
94,234.1,1.83
95,256.9,2.05
96,282.1,2.31
97,309.6,2.62
98,339.9,2.98
99,373.1,3.37
100,409.6,3.79
101,449.7,4.18
102,493.6,4.52
103,541.9,4.75
104,594.9,4.88
105,653.0,4.91
106,716.8,4.82
107,786.9,4.61
108,863.9,4.24
109,948.3,3.69
110,1041,2.98
111,1143,2.17
112,1255,1.39
113,1377,0.73
114,1512,0.29
115,1660,0.083
116,1822,0.0092
,2000,

