"LS","13:22  25 Jul 2017"
"File name:","PreBurnMine_PreBur_05.$ls"
"File ID:","PreBurnMineral3"
"Sample ID:","PreBurnMineral3"
"Operator:","CK"
"Bar code:",""
"Comment 1:",""
"Comment 2:",""
"Instrument:","LS 230, Fluid Module"
"Run number:","5"
"Start time:","13:20  25 Jul 2017"
"Run length:","92"
"Optical model:","FJA20.RFD   PIDS included"
"Obscuration:","16"
"PIDS Obscur:","82"
"Obscuration:","High"
"Serial Number:","5853"

"From","0.0400"
"To","2000"
"Volume ",100
"Mean:","491.6"
"Median:","471.3"
"D(3,2):",7.097
"Mode:","751.1"
"S.D.:","374.9"
"Variance:","140.5e3"
"Skewness:","0.391"
"Kurtosis:","-0.705"
"d10:","13.39"
"d50:","471.3"
"d90:","1012"

"Size ","% <"
1,2.82
10,8.51
100,23.0
1000,89.4

"Particle Diameter","PreBurnMine_PreBur_05.$ls"
"um","Volume"
"","% <"
0.782,2.60
1,2.82
2,3.30
3,3.95
4,4.81
5,5.66
7,7.01
10,8.51
20,12.7
40,17.5
80,21.9
82.72,22.0

"Channel Number","Channel Diameter (Lower)","Diff."
"","um","Volume"
"","","%"
1,0.040,0.0012
2,0.044,0.0014
3,0.048,0.0021
4,0.053,0.0038
5,0.058,0.0080
6,0.064,0.016
7,0.070,0.026
8,0.077,0.036
9,0.084,0.045
10,0.093,0.054
11,0.102,0.063
12,0.112,0.071
13,0.122,0.079
14,0.134,0.088
15,0.148,0.094
16,0.162,0.10
17,0.178,0.11
18,0.195,0.11
19,0.214,0.12
20,0.235,0.12
21,0.258,0.13
22,0.284,0.13
23,0.311,0.13
24,0.342,0.13
25,0.375,0.13
26,0.412,0.13
27,0.452,0.13
28,0.496,0.12
29,0.545,0.12
30,0.598,0.11
31,0.656,0.11
32,0.721,0.099
33,0.791,0.090
34,0.868,0.081
35,0.953,0.073
36,1.047,0.065
37,1.149,0.059
38,1.261,0.055
39,1.385,0.055
40,1.520,0.059
41,1.668,0.068
42,1.832,0.082
43,2.011,0.10
44,2.207,0.13
45,2.423,0.16
46,2.660,0.19
47,2.920,0.23
48,3.205,0.27
49,3.519,0.30
50,3.863,0.33
51,4.240,0.36
52,4.655,0.37
53,5.110,0.38
54,5.610,0.38
55,6.158,0.38
56,6.760,0.38
57,7.421,0.38
58,8.147,0.39
59,8.943,0.41
60,9.817,0.43
61,10.78,0.47
62,11.83,0.50
63,12.99,0.55
64,14.26,0.59
65,15.65,0.63
66,17.18,0.66
67,18.86,0.68
68,20.70,0.69
69,22.73,0.68
70,24.95,0.65
71,27.39,0.63
72,30.07,0.61
73,33.01,0.62
74,36.24,0.64
75,39.78,0.67
76,43.67,0.69
77,47.94,0.68
78,52.62,0.63
79,57.77,0.57
80,63.41,0.50
81,69.61,0.46
82,76.42,0.44
83,83.89,0.45
84,92.09,0.48
85,101.1,0.51
86,111.0,0.54
87,121.8,0.58
88,133.7,0.64
89,146.8,0.73
90,161.2,0.85
91,176.9,1.02
92,194.2,1.22
93,213.2,1.43
94,234.1,1.66
95,256.9,1.90
96,282.1,2.16
97,309.6,2.45
98,339.9,2.77
99,373.1,3.11
100,409.6,3.49
101,449.7,3.88
102,493.6,4.27
103,541.9,4.65
104,594.9,4.99
105,653.0,5.26
106,716.8,5.41
107,786.9,5.36
108,863.9,5.05
109,948.3,4.43
110,1041,3.56
111,1143,2.54
112,1255,1.54
113,1377,0.71
114,1512,0.22
115,1660,0.036
116,1822,0.0022
,2000,

