"LS","10:51  25 Jul 2017"
"File name:","PreBurnTop3_PreBur_03.$ls"
"File ID:","PreBurnTop3"
"Sample ID:","PreBurnTop3"
"Operator:","CK"
"Bar code:",""
"Comment 1:",""
"Comment 2:",""
"Instrument:","LS 230, Fluid Module"
"Run number:","3"
"Start time:","10:49  25 Jul 2017"
"Run length:","93"
"Optical model:","FJA20.RFD   PIDS included"
"Obscuration:","25"
"PIDS Obscur:","91"
"Obscuration:","HIGH"
"Serial Number:","5853"

"From","0.0400"
"To","2000"
"Volume ",100
"Mean:","439.3"
"Median:","385.5"
"D(3,2):",10.48
"Mode:","623.3"
"S.D.:","358.5"
"Variance:","128.5e3"
"Skewness:","0.680"
"Kurtosis:","-0.293"
"d10:","20.97"
"d50:","385.5"
"d90:","959.5"

"Size ","% <"
1,1.86
10,6.30
100,23.5
1000,91.5

"Particle Diameter","PreBurnTop3_PreBur_03.$ls"
"um","Volume"
"","% <"
0.782,1.70
1,1.86
2,2.27
3,2.80
4,3.44
5,4.06
7,5.10
10,6.30
20,9.70
40,14.4
80,21.0
82.72,21.4

"Channel Number","Channel Diameter (Lower)","Diff."
"","um","Volume"
"","","%"
1,0.040,0.00076
2,0.044,0.00089
3,0.048,0.0012
4,0.053,0.0022
5,0.058,0.0047
6,0.064,0.0095
7,0.070,0.016
8,0.077,0.022
9,0.084,0.028
10,0.093,0.034
11,0.102,0.040
12,0.112,0.045
13,0.122,0.050
14,0.134,0.056
15,0.148,0.060
16,0.162,0.064
17,0.178,0.067
18,0.195,0.072
19,0.214,0.076
20,0.235,0.079
21,0.258,0.082
22,0.284,0.084
23,0.311,0.085
24,0.342,0.086
25,0.375,0.086
26,0.412,0.086
27,0.452,0.085
28,0.496,0.083
29,0.545,0.080
30,0.598,0.077
31,0.656,0.074
32,0.721,0.070
33,0.791,0.065
34,0.868,0.061
35,0.953,0.056
36,1.047,0.053
37,1.149,0.050
38,1.261,0.049
39,1.385,0.051
40,1.520,0.055
41,1.668,0.062
42,1.832,0.073
43,2.011,0.087
44,2.207,0.11
45,2.423,0.13
46,2.660,0.15
47,2.920,0.18
48,3.205,0.20
49,3.519,0.22
50,3.863,0.25
51,4.240,0.26
52,4.655,0.27
53,5.110,0.28
54,5.610,0.29
55,6.158,0.29
56,6.760,0.30
57,7.421,0.30
58,8.147,0.31
59,8.943,0.33
60,9.817,0.35
61,10.78,0.38
62,11.83,0.41
63,12.99,0.44
64,14.26,0.48
65,15.65,0.51
66,17.18,0.55
67,18.86,0.58
68,20.70,0.60
69,22.73,0.61
70,24.95,0.61
71,27.39,0.61
72,30.07,0.62
73,33.01,0.66
74,36.24,0.71
75,39.78,0.78
76,43.67,0.85
77,47.94,0.89
78,52.62,0.92
79,57.77,0.92
80,63.41,0.93
81,69.61,0.94
82,76.42,0.97
83,83.89,1.02
84,92.09,1.07
85,101.1,1.12
86,111.0,1.16
87,121.8,1.20
88,133.7,1.25
89,146.8,1.31
90,161.2,1.39
91,176.9,1.50
92,194.2,1.64
93,213.2,1.82
94,234.1,2.02
95,256.9,2.26
96,282.1,2.53
97,309.6,2.83
98,339.9,3.15
99,373.1,3.47
100,409.6,3.77
101,449.7,4.03
102,493.6,4.23
103,541.9,4.35
104,594.9,4.39
105,653.0,4.36
106,716.8,4.27
107,786.9,4.09
108,863.9,3.80
109,948.3,3.37
110,1041,2.77
111,1143,2.06
112,1255,1.31
113,1377,0.65
114,1512,0.21
115,1660,0.036
116,1822,0.0023
,2000,

