Supplementary Table 3. Burn responders - bacteria that significantly responded to the prescribed fire. ,,,,,
Phylum,Class,Order,Family,Genus,Relative abundance 
Actinobacteria,Thermoleophilia,Solirubrobacterales,480-2,,
Acidobacteria,Acidobacteria,Subgroup 6,,,
Acidobacteria,Acidobacteria,Acidobacteriales,Acidobacteriaceae (Subgroup 1),,
Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,,
Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Actinophytocola,
Proteobacteria,Gammaproteobacteria,Xanthomonadales,,,
Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,
Acidobacteria,Acidobacteria,Subgroup 4,RB41,,
Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Lysinimonas,
Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,,
Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Actinoplanes,
Planctomycetes,Phycisphaerae,WD2101 soil group,,,
