#OTU_ID	15M	15T	1M	1T	4M	4T	52M	52T	56M	56T	58M	58T	Blank	JP-CFB-09M	JP-CFB-09T	JP-CFB-11M	JP-CFB-11T	JP-CFB-17M	JP-CFB-17T	JP-CFB-23M	JP-CFB-23T	JP-CFB-30M	JP-CFB-30T	JP-CFB-53M	JP-CFB-53T	JP-CFB-Blank1
1ca02e00167c13852dee0edc08c8ca9b	556.0	1971.0	603.0	1703.0	930.0	1223.0	2619.0	1616.0	839.0	967.0	896.0	259.0	0.0	96.0	443.0	91.0	130.0	564.0	102.0	407.0	269.0	169.0	228.0	147.0	299.0	59.0
1b1408f0bdb739cbc88d3ce4f4da4900	998.0	746.0	1498.0	473.0	665.0	846.0	699.0	379.0	1147.0	682.0	1260.0	921.0	0.0	213.0	142.0	178.0	172.0	214.0	95.0	177.0	271.0	169.0	287.0	135.0	0.0	0.0
40aa8ba73e03842574d3a52643ad568b	403.0	460.0	624.0	817.0	568.0	1267.0	1818.0	1632.0	402.0	324.0	566.0	317.0	0.0	54.0	97.0	107.0	358.0	340.0	53.0	274.0	96.0	68.0	96.0	72.0	95.0	22.0
b093d4a777f139c66a82963ea6b8604f	725.0	334.0	1971.0	233.0	1064.0	944.0	577.0	173.0	956.0	554.0	1049.0	776.0	0.0	83.0	88.0	80.0	75.0	67.0	80.0	136.0	217.0	93.0	227.0	60.0	0.0	0.0
83269ab4593671a2cc35549004cb35f0	843.0	249.0	1602.0	95.0	595.0	195.0	812.0	134.0	537.0	402.0	858.0	644.0	0.0	423.0	134.0	326.0	113.0	170.0	138.0	227.0	379.0	186.0	370.0	88.0	0.0	8.0
e95b3d2e734d99aca5928eb57508fca9	244.0	536.0	422.0	662.0	857.0	1354.0	502.0	273.0	597.0	351.0	782.0	450.0	0.0	198.0	101.0	201.0	110.0	237.0	143.0	275.0	203.0	0.0	95.0	149.0	97.0	22.0
cdcbab8e0b7101e1a69f60fda10b7544	602.0	510.0	653.0	711.0	583.0	502.0	857.0	422.0	579.0	473.0	849.0	346.0	0.0	99.0	140.0	124.0	91.0	202.0	96.0	157.0	246.0	152.0	212.0	83.0	0.0	0.0
89158003757c9b64c776cc199b884fed	590.0	87.0	713.0	0.0	404.0	291.0	2491.0	870.0	167.0	99.0	590.0	310.0	0.0	69.0	0.0	120.0	94.0	153.0	268.0	206.0	229.0	0.0	0.0	0.0	0.0	0.0
6e80e54b5728aaf70643636d632c6cee	555.0	130.0	505.0	0.0	460.0	455.0	1567.0	525.0	167.0	162.0	717.0	462.0	0.0	101.0	61.0	129.0	99.0	188.0	147.0	179.0	279.0	59.0	45.0	42.0	0.0	0.0
79621a064adcbb1352263d48177832fe	491.0	163.0	1437.0	0.0	475.0	302.0	556.0	123.0	435.0	363.0	477.0	356.0	0.0	107.0	84.0	163.0	75.0	160.0	191.0	261.0	304.0	85.0	115.0	48.0	0.0	13.0
1abc19b25c1caa5526c140b1ad58a5e4	334.0	0.0	1516.0	90.0	899.0	125.0	278.0	0.0	419.0	312.0	573.0	369.0	0.0	206.0	106.0	175.0	0.0	68.0	0.0	44.0	191.0	0.0	180.0	0.0	0.0	0.0
2a164d03c7fa074100981780e88018a0	341.0	160.0	694.0	231.0	402.0	380.0	627.0	349.0	313.0	204.0	626.0	280.0	0.0	121.0	0.0	92.0	61.0	74.0	100.0	113.0	130.0	94.0	97.0	67.0	0.0	0.0
277cbe6e03aca98bbddc6f0c6c26ecf5	350.0	177.0	709.0	66.0	391.0	112.0	654.0	151.0	202.0	157.0	730.0	178.0	0.0	196.0	120.0	148.0	0.0	0.0	107.0	0.0	268.0	174.0	203.0	84.0	0.0	0.0
4076753e142059c0abdd390ca5f85c3c	308.0	219.0	698.0	26.0	333.0	25.0	329.0	72.0	299.0	119.0	744.0	173.0	0.0	67.0	30.0	56.0	35.0	0.0	69.0	27.0	165.0	41.0	49.0	32.0	0.0	0.0
8f13b76675f7a9b2346d390ceb2bab55	92.0	48.0	474.0	0.0	352.0	0.0	201.0	38.0	272.0	241.0	723.0	355.0	0.0	143.0	41.0	0.0	0.0	39.0	81.0	47.0	352.0	76.0	126.0	88.0	0.0	0.0
ef9671f2199b718e0c51be13af3a1ade	199.0	38.0	582.0	125.0	253.0	103.0	284.0	0.0	243.0	204.0	514.0	598.0	0.0	151.0	0.0	45.0	0.0	0.0	0.0	63.0	120.0	0.0	41.0	0.0	0.0	0.0
724f217af194c45ab73c9f1fc7048310	232.0	220.0	422.0	235.0	396.0	660.0	202.0	50.0	169.0	113.0	217.0	99.0	0.0	24.0	0.0	37.0	70.0	85.0	0.0	89.0	63.0	0.0	53.0	0.0	17.0	9.0
50ccf9eb329b6975899394742be2f605	392.0	181.0	29.0	499.0	248.0	904.0	219.0	111.0	63.0	65.0	52.0	0.0	0.0	0.0	60.0	0.0	45.0	33.0	0.0	46.0	0.0	27.0	0.0	84.0	210.0	21.0
965a32f079746aaeba568d3fcea9868d	208.0	103.0	317.0	268.0	321.0	377.0	346.0	138.0	248.0	150.0	243.0	106.0	0.0	0.0	43.0	37.0	37.0	92.0	0.0	76.0	51.0	41.0	53.0	0.0	0.0	0.0
c03f797650fb47b865a21ef4f893072d	386.0	198.0	230.0	404.0	247.0	370.0	146.0	169.0	142.0	71.0	334.0	41.0	0.0	55.0	81.0	0.0	0.0	79.0	50.0	72.0	102.0	0.0	61.0	0.0	0.0	0.0
7af9b3df17ac12177f840e89524055f9	285.0	50.0	779.0	0.0	231.0	106.0	353.0	73.0	287.0	149.0	451.0	196.0	0.0	0.0	0.0	0.0	83.0	0.0	0.0	49.0	140.0	0.0	0.0	0.0	0.0	0.0
e1d759a4bfe2738e4f3de9ce8c7c494f	407.0	32.0	1078.0	28.0	196.0	236.0	160.0	44.0	143.0	56.0	325.0	29.0	0.0	29.0	24.0	47.0	7.0	0.0	28.0	46.0	55.0	22.0	26.0	0.0	0.0	0.0
849be4b81545af6d5fd057fc1c9728a9	190.0	99.0	235.0	0.0	129.0	0.0	243.0	75.0	186.0	153.0	459.0	254.0	0.0	159.0	0.0	103.0	0.0	73.0	199.0	99.0	146.0	0.0	26.0	0.0	0.0	0.0
cf45ebc50124872530c4d9856090c433	302.0	92.0	109.0	192.0	202.0	181.0	559.0	384.0	0.0	0.0	55.0	0.0	0.0	0.0	0.0	33.0	77.0	96.0	0.0	72.0	66.0	0.0	0.0	74.0	169.0	46.0
4a30214febcb73fbd6a57c21c17f5f67	60.0	274.0	0.0	588.0	290.0	503.0	132.0	114.0	200.0	106.0	186.0	41.0	0.0	0.0	45.0	0.0	56.0	114.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d1c0fff57fdbdc4e92d70a4356124784	234.0	150.0	127.0	265.0	117.0	136.0	221.0	133.0	258.0	158.0	403.0	97.0	0.0	53.0	49.0	40.0	15.0	32.0	36.0	60.0	68.0	25.0	0.0	0.0	0.0	0.0
f849ea073ac1fe096527009eafc82b9c	0.0	525.0	0.0	125.0	0.0	0.0	23.0	173.0	403.0	247.0	584.0	272.0	0.0	41.0	53.0	34.0	78.0	0.0	0.0	0.0	0.0	0.0	31.0	21.0	34.0	10.0
8b726bd3cd35855c80e5d96a558e1fa4	197.0	154.0	183.0	208.0	239.0	512.0	132.0	116.0	149.0	58.0	183.0	57.0	0.0	49.0	44.0	27.0	45.0	72.0	45.0	92.0	51.0	0.0	20.0	0.0	0.0	0.0
e300a39a94a983491c574de5113d5307	93.0	0.0	195.0	0.0	92.0	0.0	92.0	0.0	262.0	225.0	632.0	300.0	0.0	217.0	0.0	0.0	0.0	0.0	0.0	0.0	108.0	149.0	165.0	0.0	0.0	0.0
3f2d29be5bf0c9bdc6e7a3ccbe0b1126	0.0	246.0	0.0	411.0	76.0	113.0	66.0	220.0	273.0	333.0	260.0	183.0	0.0	22.0	100.0	0.0	0.0	67.0	0.0	0.0	0.0	0.0	73.0	0.0	0.0	0.0
e5c10d05aee8fc2588c310520936c8a9	123.0	235.0	124.0	197.0	73.0	110.0	204.0	130.0	212.0	196.0	144.0	80.0	0.0	46.0	71.0	0.0	0.0	88.0	51.0	0.0	53.0	0.0	51.0	46.0	42.0	19.0
14d11bd7912a46b20d05f82c1165e7c1	0.0	198.0	46.0	278.0	183.0	318.0	86.0	95.0	308.0	225.0	192.0	135.0	0.0	0.0	0.0	0.0	0.0	92.0	0.0	0.0	0.0	0.0	70.0	0.0	0.0	0.0
e0c1f73404e89bed9051a576d2a1ee78	287.0	120.0	193.0	70.0	120.0	30.0	299.0	153.0	230.0	96.0	169.0	72.0	0.0	28.0	35.0	27.0	24.0	43.0	13.0	35.0	51.0	29.0	44.0	13.0	25.0	0.0
edccf327eae7ecddbd8b3f4613135f56	225.0	156.0	319.0	387.0	119.0	192.0	188.0	66.0	128.0	0.0	149.0	66.0	0.0	47.0	0.0	0.0	43.0	0.0	0.0	49.0	43.0	0.0	0.0	0.0	0.0	0.0
7c844dab2a4c30cca30262b9bb3f032b	0.0	0.0	99.0	102.0	286.0	1030.0	0.0	0.0	107.0	74.0	142.0	180.0	0.0	0.0	0.0	0.0	0.0	59.0	0.0	17.0	0.0	0.0	37.0	0.0	0.0	0.0
a8979e7c5cb3a86311513cacfdc12841	247.0	0.0	346.0	0.0	135.0	74.0	174.0	124.0	132.0	0.0	218.0	158.0	0.0	56.0	57.0	54.0	0.0	17.0	0.0	37.0	69.0	0.0	111.0	46.0	0.0	0.0
c7b92a5f15728b6a60ee70a0f4b102ca	164.0	161.0	140.0	111.0	218.0	270.0	155.0	0.0	159.0	135.0	175.0	76.0	0.0	0.0	50.0	0.0	47.0	67.0	0.0	66.0	0.0	0.0	34.0	0.0	0.0	0.0
3057ba8d40e6bc5b62e243186e839cdb	0.0	96.0	0.0	905.0	0.0	0.0	61.0	543.0	127.0	85.0	0.0	0.0	0.0	15.0	60.0	0.0	0.0	114.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8a9b54b580415f82871f448e51f0c22d	211.0	72.0	483.0	107.0	188.0	256.0	98.0	66.0	124.0	57.0	167.0	74.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	75.0	0.0	0.0	0.0	0.0	0.0	0.0
7e0f3eca1b71522392ea5d0b737d9b7f	289.0	180.0	310.0	14.0	146.0	106.0	78.0	0.0	132.0	93.0	211.0	105.0	0.0	0.0	0.0	34.0	0.0	45.0	48.0	116.0	52.0	0.0	0.0	0.0	0.0	0.0
08a9ec7a653fa6f6af853e2b20a625a0	326.0	0.0	533.0	0.0	163.0	76.0	172.0	0.0	88.0	0.0	298.0	29.0	0.0	0.0	0.0	0.0	0.0	0.0	83.0	61.0	79.0	0.0	0.0	0.0	0.0	0.0
39a3e902560d25bf7433eb5ba6cc3454	117.0	132.0	273.0	334.0	110.0	145.0	163.0	55.0	200.0	120.0	120.0	57.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	31.0	0.0	21.0	0.0
c2727ef93c7307f9f9cdc565c76f4b62	293.0	27.0	538.0	57.0	146.0	140.0	169.0	43.0	95.0	30.0	206.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	82.0	48.0	0.0	0.0	0.0	0.0	0.0
583a8c78410b8ec2a15d45b76496f753	0.0	146.0	0.0	241.0	148.0	328.0	53.0	0.0	270.0	202.0	189.0	127.0	0.0	0.0	101.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	64.0	0.0	0.0	0.0
34e7cc83f26a4779b779e5d2fdce74aa	0.0	287.0	75.0	85.0	0.0	0.0	91.0	273.0	305.0	253.0	152.0	178.0	0.0	0.0	66.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	94.0	0.0	0.0	0.0
5b9f7163aa9f3d46dc6c4bf4971f8ccb	132.0	65.0	278.0	366.0	189.0	302.0	97.0	176.0	64.0	0.0	67.0	0.0	0.0	0.0	0.0	41.0	15.0	0.0	0.0	0.0	66.0	0.0	0.0	0.0	0.0	0.0
8b14ccc2d4a1b5c01512fc9f003721cf	69.0	245.0	160.0	0.0	74.0	57.0	78.0	0.0	265.0	246.0	212.0	177.0	0.0	0.0	61.0	0.0	0.0	0.0	0.0	27.0	45.0	61.0	55.0	0.0	0.0	0.0
54c12e3b41b052d39334d3d14a296f8f	126.0	158.0	450.0	0.0	337.0	0.0	192.0	0.0	96.0	52.0	166.0	70.0	0.0	0.0	0.0	0.0	0.0	0.0	57.0	0.0	0.0	52.0	0.0	33.0	0.0	0.0
aebcb3fbdf6fb7ebeee94f2b965b2081	20.0	195.0	126.0	266.0	121.0	260.0	64.0	30.0	208.0	109.0	144.0	50.0	0.0	0.0	24.0	0.0	0.0	39.0	0.0	0.0	26.0	17.0	45.0	0.0	0.0	0.0
d7ea0970717a9231004a13c168f08d00	141.0	0.0	356.0	0.0	197.0	76.0	178.0	0.0	172.0	177.0	156.0	87.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51.0	137.0	0.0	0.0	0.0	0.0	0.0
62675d77af960c99bf622c96eba42707	316.0	0.0	533.0	0.0	249.0	0.0	168.0	100.0	72.0	0.0	220.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	65.0	0.0	0.0	0.0	0.0	0.0
ddec5b77d0f62bdbf8fe2d35c2f09e2c	0.0	110.0	29.0	0.0	107.0	64.0	48.0	0.0	170.0	276.0	197.0	484.0	0.0	41.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	37.0	41.0	25.0	0.0	0.0
c6094281dddd6317d16562ed89370a3b	0.0	127.0	170.0	46.0	0.0	0.0	0.0	121.0	213.0	201.0	196.0	225.0	0.0	0.0	168.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	157.0	0.0	0.0	0.0
f150d587dc3434b5074985dc302ec094	0.0	75.0	0.0	467.0	364.0	492.0	0.0	0.0	44.0	43.0	51.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	29.0	0.0
f84e074dc8597c9c37756cc00c3cb745	97.0	0.0	499.0	33.0	184.0	28.0	223.0	26.0	38.0	33.0	173.0	65.0	0.0	24.0	0.0	0.0	0.0	0.0	43.0	17.0	61.0	0.0	28.0	0.0	0.0	0.0
a947e2a74dac13b77104a29fe40afb6e	0.0	0.0	244.0	0.0	123.0	0.0	142.0	0.0	134.0	49.0	370.0	305.0	0.0	0.0	0.0	0.0	0.0	67.0	88.0	0.0	37.0	0.0	0.0	0.0	0.0	0.0
6961f6e7dc79c9993b66caeae79fe089	112.0	0.0	228.0	13.0	128.0	0.0	283.0	49.0	122.0	63.0	233.0	242.0	0.0	42.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0
233d529600b771fee6bf04148ddca491	112.0	0.0	79.0	0.0	143.0	0.0	187.0	0.0	204.0	87.0	300.0	114.0	0.0	103.0	0.0	41.0	0.0	0.0	50.0	0.0	79.0	0.0	0.0	38.0	0.0	0.0
567b4f7591ffcd35d60ff5e9f1de8d71	78.0	0.0	109.0	0.0	121.0	0.0	110.0	108.0	167.0	93.0	205.0	170.0	0.0	84.0	0.0	52.0	0.0	0.0	121.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0
