Soil,Seeds,Height_cm
PottingMix,CN,7.5
PottingMix,CN,7.5
PottingMix,CN,9.5
PottingMix,CN,9
PottingMix,CN,7.5
PottingMix,CN,7.5
PottingMix,CN,7
PottingMix,CN,7
PottingMix,CN,8.5
PottingMix,CN,8
PottingMix,NW,6
PottingMix,NW,3
PottingMix,NW,6.5
PottingMix,NW,9.5
PottingMix,NW,2.5
PottingMix,NW,6.5
PottingMix,NW,8.5
PottingMix,NW,6
PottingMix,NW,4
PottingMix,NW,8
PreBurn,CN,13
PreBurn,CN,
PreBurn,CN,
PreBurn,CN,
PreBurn,CN,
PreBurn,CN,
PreBurn,CN,
PreBurn,CN,
PreBurn,CN,
PreBurn,CN,
PreBurn,NW,12
PreBurn,NW,15
PreBurn,NW,14
PreBurn,NW,12
PreBurn,NW,16
PreBurn,NW,14
PreBurn,NW,12.5
PreBurn,NW,15
PreBurn,NW,
PreBurn,NW,
PostBurn,CN,14
PostBurn,CN,13
PostBurn,CN,13
PostBurn,CN,
PostBurn,CN,
PostBurn,CN,
PostBurn,CN,
PostBurn,CN,
PostBurn,CN,
PostBurn,CN,
PostBurn,NW,14.5
PostBurn,NW,14.5
PostBurn,NW,12
PostBurn,NW,16
PostBurn,NW,15
PostBurn,NW,13
PostBurn,NW,12
PostBurn,NW,9
PostBurn,NW,
PostBurn,NW,
LabBurn,CN,11.5
LabBurn,CN,16
LabBurn,CN,17
LabBurn,CN,5
LabBurn,CN,17
LabBurn,NW,17.5
LabBurn,NW,15
LabBurn,NW,18
LabBurn,NW,18
LabBurn,NW,17.5
,,
,,
,,
,,
,,
